Abstand in mm,N,Ameritium-Quelle
0,31683
1,30123
2,26335
3,21343
4,18908
5,16585
6,14399
7,12797
8,11800
9,10559
10,9397
11,8600
12,7691
13,6931
14,6523
15,6053
16,5399
17,4097
18,1965
19,254
20,139
22,105
24,93
26,120
