DEC=0,0
"DEF=""Zeit""",t
0,0
5,1
10,3
15,6
20,9
25,9
30,10
35,10
40,14
45,14
50,14
55,14
60,15
65,16
70,17
75,18
80,20
85,20
90,24
95,25
100,25
105,26
110,27
115,28
120,32
125,34
130,34
135,34
140,36
145,36
150,36
155,36
160,36
165,38
170,39
175,41
180,42
185,44
190,46
195,46
200,47
205,47
210,49
215,50
220,52
225,52
230,55
235,57
240,57
245,58
250,60
255,60
260,61
265,64
270,66
275,66
280,66
285,69
290,71
295,73
300,74
305,76
310,76
315,77
320,78
325,78
330,79
335,80
340,83
345,83
350,83
355,83
360,83
365,83
370,83
375,84
380,84
385,87
390,88
395,90
400,93
405,94
410,96
415,98
420,99
425,103
430,105
435,106
440,106
445,107
450,109
455,110
460,111
465,112
470,113
475,113
480,115
485,115
490,115
495,115
500,116
505,116
510,116
515,117
520,117
525,117
530,118
535,119
540,120
545,121
550,124
555,124
560,125
565,127
570,127
575,127
580,127
585,128
590,129
595,130
600,132
605,132
610,134
615,136
620,137
625,138
630,141
635,143
640,145
645,146
650,147
655,149
660,152
665,155
670,155
675,156
680,157
685,158
690,159
695,159
700,161
705,161
710,161
715,162
720,166
725,167
730,167
735,167
740,168
745,169
750,170
755,172
760,173
765,173
770,174
775,177
780,178
785,178
790,178
795,179
800,180
