1.00e-2, 19.0
9.173-3, 20.5
8.07e-3, 22.5
7.17e-3, 23.8
6.48e-3, 25.0
5.803-3, 26.6
4.84e-3, 28.4
3.91e-3, 30.8
3.27e-3, 32.5
2.44e-3, 35.3
1.53e-3, 39.6
1.14e-3, 45.1
8.47e-4, 50.1
7.29e-4, 55.0
4.57e-4, 60.0
3.75e-4, 65.0
3.47e-4, 70.0
3.30e-4, 75.0
3.15e-4, 80.1
3.05e-4, 85.1
2.95e-4, 90.4
2.80e-4, 100.1
2.67e-4, 110.0
2.56e-4, 119.8
2.37e-4, 140.0
2.22e-4, 160.3
2.11e-4, 180.0
2.01e-4, 200.6
1.93e-4, 220.4
1.86e-4, 239.5
