Zeit,Kanal A,Kanal B
(s),(V),(V)

3.65649408,0.19348730,0.87740710
3.65782808,0.19501330,0.88045900
3.65916208,0.19653920,0.88351080
3.66049608,0.19501330,0.88808860
3.66183008,0.19501330,0.89114050
3.66316408,0.19501330,0.89419230
3.66449808,0.19501330,0.89877010
3.66583208,0.19653920,0.90182190
3.66716608,0.19775990,0.90487380
3.66850008,0.19775990,0.90945160
3.66983408,0.19775990,0.91250350
3.67116808,0.19775990,0.91555530
3.67250208,0.19775990,0.91860710
3.67383608,0.19775990,0.92318490
3.67517008,0.19928590,0.92623670
3.67650408,0.20081180,0.92928860
3.67783808,0.20203250,0.93386640
3.67917208,0.20081180,0.93691830
3.68050608,0.19928590,0.93997010
3.68184008,0.19775990,0.94454790
3.68317408,0.19653920,0.94759970
3.68450808,0.19653920,0.95065150
3.68584208,0.19775990,0.95370350
3.68717608,0.19928590,0.95828120
3.68851008,0.20081180,0.96133300
3.68984408,0.20203250,0.96438490
3.69117808,0.20081180,0.96896270
3.69251208,0.19928590,0.97201450
3.69384608,0.20081180,0.97506640
3.69518008,0.20203250,0.97811820
3.69651408,0.20355850,0.98269610
3.69784808,0.20508440,0.98574790
3.69918208,0.20355850,0.98879970
3.70051608,0.20355850,0.99337750
3.70185008,0.20203250,0.99795530
3.70318408,0.20203250,1.00100700
3.70451808,0.20081180,1.00558500
3.70585208,0.20203250,1.00863700
3.70718608,0.20355850,1.01168900
3.70852008,0.20355850,1.01626600
3.70985408,0.20355850,1.02084400
3.71118808,0.20355850,1.02694800
3.71252208,0.20203250,1.03000000
3.71385608,0.20355850,1.03305100
3.71519008,0.20508440,1.03915500
3.71652408,0.20630510,1.04068100
3.71785808,0.20783110,1.04220700
3.71919208,0.20630510,1.04678500
3.72052608,0.20508440,1.05136300
3.72186008,0.20355850,1.05288900
3.72319408,0.20355850,1.05746600
3.72452808,0.20355850,1.06051800
3.72586209,0.20508440,1.06509600
3.72719609,0.20630510,1.06967400
3.72853009,0.20630510,1.07577800
3.72986409,0.20783110,1.08035500
3.73119809,0.20783110,1.08645900
3.73253209,0.20783110,1.09103700
3.73386609,0.20935700,1.09256300
3.73520009,0.21057770,1.09866600
3.73653409,0.21210360,1.10171800
3.73786809,0.21210360,1.10477000
3.73920209,0.21210360,1.10934800
3.74053609,0.21057770,1.11240000
3.74187009,0.21057770,1.11392600
3.74320409,0.20935700,1.11850300
3.74453809,0.20935700,1.12308100
3.74587209,0.21057770,1.12613300
3.74720609,0.21057770,1.12918500
3.74854009,0.21057770,1.13376300
3.74987409,0.21057770,1.13681400
3.75120809,0.20935700,1.13986600
3.75254209,0.20935700,1.14139200
3.75387609,0.21057770,1.14749600
3.75521009,0.21210360,1.15207400
3.75654409,0.21362960,1.15817700
3.75787809,0.21362960,1.16122900
3.75921209,0.21485030,1.16580700
3.76054609,0.21362960,1.17038500
3.76188009,0.21210360,1.17496300
3.76321409,0.21057770,1.17954000
3.76454809,0.21210360,1.18259200
3.76588209,0.21362960,1.18411800
3.76721609,0.21485030,1.18869600
3.76855009,0.21485030,1.19327400
3.76988409,0.21485030,1.19632600
